"","Authors","Title","Year","Source","Publisher","QueryDate","Type","DOI","ISSN","Volume","Abstract","generic_drug_name","database"
"15","Y. Taoka","Influence of Dietary Vitamin E Deficiency on Compression Injury of Rat Spinal Cord",1990,"Journal of Nutritional Science and Vitaminology",NA,"2021-01-15 17:23:06","Article","10.3177/jnsv.36.217","0301-4800",36,NA,"acetate","scopus"
"16","Z. Hu","Exogenous progesterone: A potential therapeutic candidate in CNS injury and neurodegeneration",2009,"Current Medicinal Chemistry",NA,"2021-01-15 17:23:06","Review","10.2174/092986709787846523","0929-8673",16,NA,"acetate","scopus"
"17","R. Ghaly","Recovery after high-dose methylprednisolone and delayed evacuation: A case of spinal epidural hematoma",2001,"Journal of Neurosurgical Anesthesiology",NA,"2021-01-15 17:23:06","Article","10.1097/00008506-200110000-00008","0898-4921",13,NA,"acetate","scopus"
"18","M.P. Côté","Exercise modulates chloride homeostasis after spinal cord injury",2014,"Journal of Neuroscience",NA,"2021-01-15 17:23:06","Article","10.1523/JNEUROSCI.0678-14.2014","0270-6474",34,NA,"acetate","scopus"
"19","Y. Serarslan","Protective effects of tadalafil on experimental spinal cord injury in rats",2010,"Journal of Clinical Neuroscience",NA,"2021-01-15 17:23:06","Article","10.1016/j.jocn.2009.03.036","0967-5868",17,NA,"acetate","scopus"
"20","E. Santos-Nogueira","Activation of lysophosphatidic acid receptor type 1 contributes to pathophysiology of spinal cord injury",2015,"Journal of Neuroscience",NA,"2021-01-15 17:23:06","Article","10.1523/JNEUROSCI.4703-14.2015","0270-6474",35,NA,"acetate","scopus"
"21","T. Genovese","Effects of zileuton and montelukast in mouse experimental spinal cord injury",2008,"British Journal of Pharmacology",NA,"2021-01-15 17:23:06","Article","10.1038/sj.bjp.0707577","0007-1188",153,NA,"acetate","scopus"
"22","S. Van Gorp","Amelioration of motor/sensory dysfunction and spasticity in a rat model of acute lumbar spinal cord injury by human neural stem cell transplantation",2013,"Stem Cell Research and Therapy",NA,"2021-01-15 17:23:06","Article","10.1186/scrt209","1757-6512",4,NA,"acetate","scopus"
"23","D. Anderson","Pretreatment with Alpha Tocopherol Enhances Neurologic Recovery After Experimental Spinal Cord Compression Injury",1988,"Journal of Neurotrauma",NA,"2021-01-15 17:23:06","Article","10.1089/neu.1988.5.61","0897-7151",5,NA,"acetate","scopus"
"24","D. Stein","Does Progesterone Have Neuroprotective Properties?",2008,"Annals of Emergency Medicine",NA,"2021-01-15 17:23:06","Review","10.1016/j.annemergmed.2007.05.001","0196-0644",51,NA,"acetate","scopus"
"25","A.F. De Nicola","Progesterone neuroprotection in traumatic CNS injury and motoneuron degeneration",2009,"Frontiers in Neuroendocrinology",NA,"2021-01-15 17:23:06","Review","10.1016/j.yfrne.2009.03.001","0091-3022",30,NA,"acetate","scopus"
"26","L. Urdzíková","Transplantation of bone marrow stem cells as well as mobilization by granulocyte-colony stimulating factor promotes recovery after spinal cord injury in rats",2006,"Journal of Neurotrauma",NA,"2021-01-15 17:23:06","Article","10.1089/neu.2006.23.1379","0897-7151",23,NA,"acetate","scopus"
"27","S. El Hag","A Case Report of Thoracic Endovascular Aneurysm Repair under Local Anesthesia with Resolution of Acute Onset Lower Extremity Paraplegia from an Acute Complicated Type B Aortic Dissection",2020,"Annals of Vascular Surgery",NA,"2021-01-12 09:53:47","Article","10.1016/j.avsg.2020.04.031","0890-5096",68,NA,"acetazolamide","scopus"
"28","A. Borromei","Elective neurotraumatology and therapeutic strategies in early post- trauma",1997,"Functional Neurology",NA,"2021-01-12 09:53:47","Review","","0393-5264",12,NA,"acetazolamide","scopus"
"29","O. Nesic","Aquaporins in spinal cord injury: The janus face of aquaporin 4",2010,"Neuroscience",NA,"2021-01-12 09:53:47","Review","10.1016/j.neuroscience.2010.01.037","0306-4522",168,NA,"acetazolamide","scopus"
"30","J. Thanalakshmi","Beneficial effects of long term caloric vestibular stimulation on changes in brain neurotransmitter dopamine and locomotor activity in parkinson’s disease induced rats",2020,"International Journal of Research in Pharmaceutical Sciences",NA,"2021-01-12 09:56:04","Article","10.26452/ijrps.v11iSPL2.2694","0975-7538",11,NA,"acetic_acid","scopus"
"31","Y. Li","Inhibition of Brd4 by JQ1 Promotes Functional Recovery From Spinal Cord Injury by Activating Autophagy",2020,"Frontiers in Cellular Neuroscience",NA,"2021-01-12 09:56:04","Article","10.3389/fncel.2020.555591","1662-5102",14,NA,"acetic_acid","scopus"
"32","A. Lahiani","Neurotropic activity and safety of methylene-cycloalkylacetate (MCA) derivative 3-(3-allyl-2-methylenecyclohexyl) propanoic acid",2020,"ACS Chemical Neuroscience",NA,"2021-01-12 09:56:04","Article","10.1021/acschemneuro.0c00255","1948-7193",11,NA,"acetic_acid","scopus"
"33","A. Tsuya","Effects of irradiation on the central nervous system (Japanese)",1973,"Nippon Acta Radiologica",NA,"2021-01-12 09:56:04","Article","","",33,NA,"acetic_acid","scopus"
"34","H. Fan","Computational exploration of natural compounds to target cytosolic phospholipase A 2 protein: A novel therapeutic target for spinal cord injury",2018,"Current Computer-Aided Drug Design",NA,"2021-01-12 09:56:04","Article","10.2174/1573409914666180123100714","1573-4099",14,NA,"acetic_acid","scopus"
"35","Y. Ye","Antinociceptive activity and pathway of the pallanalgesin isolated from venom of Agkistrodon halys (Pallas)",2013,"Pharmaceutical Biology",NA,"2021-01-12 09:56:04","Article","10.3109/13880209.2013.773521","1388-0209",51,NA,"acetic_acid","scopus"
"36","M. Sarkar","UPLC–MS/MS assay of riluzole in human plasma and cerebrospinal fluid (CSF): Application in samples from spinal cord injured patients",2017,"Journal of Pharmaceutical and Biomedical Analysis",NA,"2021-01-12 09:56:04","Article","10.1016/j.jpba.2017.08.045","0731-7085",146,NA,"acetic_acid","scopus"
"37","K. Korkmaz","Effect of montelukast on spinal cord ischemia- Reperfusion injury",2015,"Turkish Neurosurgery",NA,"2021-01-12 09:56:04","Article","10.5137/1019-5149.JTN.11499-14.2","1019-5149",25,NA,"acetic_acid","scopus"
"38","W. Yang","Investigation of sonic hedgehog loading chitosan/sodium tripolyphosphate microspheres with genipin as Cross-Linker",2015,"Journal of Bionanoscience",NA,"2021-01-12 09:56:04","Article","10.1166/jbns.2015.1317","1557-7910",9,NA,"acetic_acid","scopus"
"39","J. Sánchez-Ventura","BET protein inhibition regulates cytokine production and promotes neuroprotection after spinal cord injury",2019,"Journal of Neuroinflammation",NA,"2021-01-12 09:56:04","Article","10.1186/s12974-019-1511-7","1742-2094",16,NA,"acetic_acid","scopus"
"40","J. Wang","BRD4 inhibition attenuates inflammatory response in microglia and facilitates recovery after spinal cord injury in rats",2019,"Journal of Cellular and Molecular Medicine",NA,"2021-01-12 09:56:04","Article","10.1111/jcmm.14196","1582-1838",23,NA,"acetic_acid","scopus"
"41","M. Pranzatelli","Brainstem serotonergic hyperinnervation modifies behavioral supersensitivity to 5-hydroxytryptophan in the rat",1989,"Developmental Brain Research",NA,"2021-01-12 09:56:04","Article","10.1016/0165-3806(89)90128-4","0165-3806",50,NA,"acetic_acid","scopus"
"42","K. Pettersson-Hammerstad","Impaired Renal Function in Newly Spinal Cord Injured Patients Improves in the Chronic State-Effect of Clean Intermittent Catheterization?",2008,"Journal of Urology",NA,"2021-01-12 09:56:04","Article","10.1016/j.juro.2008.03.051","0022-5347",180,NA,"acetic_acid","scopus"
"43","I. Paterniti","Evidence for the role of peroxisome proliferator-activated receptor-β/δ in the development of spinal cord injury[S]",2010,"Journal of Pharmacology and Experimental Therapeutics",NA,"2021-01-12 09:56:04","Article","10.1124/jpet.110.165605","0022-3565",333,NA,"acetic_acid","scopus"
"44","M.J. Lewis","Emerging and Adjunctive Therapies for Spinal Cord Injury Following Acute Canine Intervertebral Disc Herniation",2020,"Frontiers in Veterinary Science",NA,"2021-01-12 09:57:03","Review","10.3389/fvets.2020.579933","2297-1769",7,NA,"acetylcysteine","scopus"
"45","U. Karadeniz","The effects of N-acetylcystein and methylprednisolone on spinal cord ischemia-reperfusion",2005,"Gogus-Kalp-Damar Anestezi ve Yogun Bakim Dernegi Dergisi",NA,"2021-01-12 09:57:03","Article","","1305-5550",11,NA,"acetylcysteine","scopus"
"46","A. Horst","N-acetylcysteine downregulates phosphorylated p-38 expression but does not reverse the increased superoxide anion levels in the spinal cord of rats with neuropathic pain",2017,"Brazilian Journal of Medical and Biological Research",NA,"2021-01-12 09:57:03","Article","10.1590/1414-431X20165801","0100-879X",50,NA,"acetylcysteine","scopus"
"47","H. Zhang","A nutrient mixture reduces the expression of matrix metalloproteinases in an animal model of spinal cord injury by modulating matrix metalloproteinase-2 and matrix metalloproteinase-9 promoter activities",2014,"Experimental and Therapeutic Medicine",NA,"2021-01-12 09:57:03","Article","10.3892/etm.2014.2021","1792-0981",8,NA,"acetylcysteine","scopus"
"48","J. Guo","N-acetylcysteine treatment following spinal cord trauma reduces neural tissue damage and improves locomotor function in mice",2015,"Molecular Medicine Reports",NA,"2021-01-12 09:57:03","Article","10.3892/mmr.2015.3390","1791-2997",12,NA,"acetylcysteine","scopus"
"49","B. Semple","Early preservation of mitochondrial bioenergetics supports both structural and functional recovery after neurotrauma",2014,"Experimental Neurology",NA,"2021-01-12 09:57:03","Note","10.1016/j.expneurol.2014.07.013","0014-4886",261,NA,"acetylcysteine","scopus"
"50","D. Welin","Effects of N-acetyl-cysteine on the survival and regeneration of sural sensory neurons in adult rats",2009,"Brain Research",NA,"2021-01-12 09:57:03","Article","10.1016/j.brainres.2009.06.038","0006-8993",1287,NA,"acetylcysteine","scopus"
"51","O. Cakir","Neuroprotective Effect of N-Acetylcysteine and Hypothermia on the Spinal Cord Ischemia—Reperfusion Injury",2003,"Vascular",NA,"2021-01-12 09:57:03","Article","10.1177/096721090301100508","1708-5381",11,NA,"acetylcysteine","scopus"
"52","S. Patel","N-acetylcysteine amide preserves mitochondrial bioenergetics and improves functional recovery following spinal trauma",2014,"Experimental Neurology",NA,"2021-01-12 09:57:03","Article","10.1016/j.expneurol.2014.04.026","0014-4886",257,NA,"acetylcysteine","scopus"
"53","I. Sakamoto","The protective effect and mechanism of COA-Cl in acute phase after spinal cord injury",2020,"Neuroscience Research",NA,"2021-01-12 09:58:54","Article","10.1016/j.neures.2020.10.003","0168-0102",NA,NA,"adenosine","scopus"
"54","P. Wang","MicroRNA-139-5p Promotes Functional Recovery and Reduces Pain Hypersensitivity in Mice with Spinal Cord Injury by Targeting Mammalian Sterile 20-like Kinase 1",2020,"Neurochemical Research",NA,"2021-01-12 09:58:54","Article","10.1007/s11064-020-03170-4","0364-3190",NA,NA,"adenosine","scopus"
"55","A. Anjum","Spinal cord injury: Pathophysiology, multimolecular interactions, and underlying recovery mechanisms",2020,"International Journal of Molecular Sciences",NA,"2021-01-12 09:58:54","Review","10.3390/ijms21207533","1661-6596",21,NA,"adenosine","scopus"
"56","G. Taccola","Selective Antagonism of A1 Adenosinergic Receptors Strengthens the Neuromodulation of the Sensorimotor Network During Epidural Spinal Stimulation",2020,"Frontiers in Systems Neuroscience",NA,"2021-01-12 09:58:54","Article","10.3389/fnsys.2020.00044","1662-5137",14,NA,"adenosine","scopus"
"57","W. Rodemer","Mechanisms of Axon Elongation Following CNS Injury: What Is Happening at the Axon Tip?",2020,"Frontiers in Cellular Neuroscience",NA,"2021-01-12 09:58:54","Review","10.3389/fncel.2020.00177","1662-5102",14,NA,"adenosine","scopus"
"58","S. Lin","Zinc promotes autophagy and inhibits apoptosis through AMPK/mTOR signaling pathway after spinal cord injury",2020,"Neuroscience Letters",NA,"2021-01-12 09:58:54","Article","10.1016/j.neulet.2020.135263","0304-3940",736,NA,"adenosine","scopus"
"59","Z. Zhao","A Selective P2Y Purinergic Receptor Agonist 2-MesADP Enhances Locomotor Recovery after Acute Spinal Cord Injury",2020,"European Neurology",NA,"2021-01-12 09:58:54","Article","10.1159/000507854","0014-3022",83,NA,"adenosine","scopus"
"60","G.J. Kotwal","Characterization of ATP nanoliposome treatment for regeneration of injured spinal cord",2019,"Nanotechnology Characterization Tools for Tissue Engineering and Medical Therapy",NA,"2021-01-12 09:58:54","Chapter","10.1007/978-3-662-59596-1_10","",NA,NA,"adenosine","scopus"
"61","M.S. Rao","dBcAMP Rescues the Neurons From Degeneration in Kainic Acid-Injured Hippocampus, Enhances Neurogenesis, Learning, and Memory",2020,"Frontiers in Behavioral Neuroscience",NA,"2021-01-12 09:58:54","Article","10.3389/fnbeh.2020.00018","1662-5153",14,NA,"adenosine","scopus"
"62","F.M. Michael","Prospects of siRNA cocktails as tools for modifying multiple gene targets in the injured spinal cord",2019,"Experimental Biology and Medicine",NA,"2021-01-12 09:58:54","Article","10.1177/1535370219871868","1535-3702",244,NA,"adenosine","scopus"
"63","H. Fu","Identification of Key Genes and Pathways Involved in the Heterogeneity of Intrinsic Growth Ability Between Neurons After Spinal Cord Injury in Adult Zebrafish",2019,"Neurochemical Research",NA,"2021-01-12 09:58:54","Article","10.1007/s11064-019-02841-1","0364-3190",44,NA,"adenosine","scopus"
"64","C. Macks","Rm-loaded polymeric micelle reduces secondary injury in a rat tbi model",2019,"Transactions of the Annual Meeting of the Society for Biomaterials and the Annual International Biomaterials Symposium",NA,"2021-01-12 09:58:54","Conference Paper","","1526-7547",40,NA,"adenosine","scopus"
"65","B. Qi","Cyclic adenosine phosphate improves functional recovery after spinal cord injury via activating unfolded protein response",2019,"Pharmazie",NA,"2021-01-12 09:58:54","Article","10.1691/ph.2019.8347","0031-7144",74,NA,"adenosine","scopus"
"66","R. Muramatsu","Molecular mechanism underlying the inhibition of axonal regeneration after CNS injury",2010,"Neurochemistry: Molecular Aspects, Cellular Aspects and Clinical Applications",NA,"2021-01-12 09:58:54","Chapter","","",NA,NA,"adenosine","scopus"
"67","J.K. Morris","Hit me with your best shot… to regenerate",2018,"Science Translational Medicine",NA,"2021-01-12 09:58:54","Review","10.1126/scitranslmed.aar7517","1946-6234",10,NA,"adenosine","scopus"
"68","R. Muramatsu","Molecular mechanism underlying the inhibition of axonal regeneration after CNS injury",2009,"Neurochemistry: Molecular Aspects, Cellular Aspects and Clinical Applications",NA,"2021-01-12 09:58:54","Chapter","","",NA,NA,"adenosine","scopus"
"69","R. Harris","Tail muscle parvalbumin content is decreased in chronic sacral spinal cord injured rats with spasticity",2011,"Experimental Physiology",NA,"2021-01-12 09:58:54","Article","10.1113/expphysiol.2011.061614","0958-0670",96,NA,"adenosine","scopus"
"70","J. Qian","Effects of extracellular ATP on the recovery of motor function after spinal cord injury in rats",2007,"Journal of Xi'an Jiaotong University (Medical Sciences)",NA,"2021-01-12 09:58:54","Article","","1671-8259",28,NA,"adenosine","scopus"
"71","L. Fu","Advancement in drug therapy of functional recovery after acute spinal cord injury",2004,"Chinese Journal of Clinical Rehabilitation",NA,"2021-01-12 09:58:54","Review","","1671-5926",8,NA,"adenosine","scopus"
"72","L. Matinyan","Evolutionary aspects of compensation of functions of a damaged spinal cord",2003,"Zhurnal Vysshei Nervnoi Deyatelnosti Imeni I.P. Pavlova",NA,"2021-01-12 09:58:54","Article","","0044-4677",53,NA,"adenosine","scopus"
"73","Z. Xu","Experimental study on the role of apelin-13 in alleviating spinal cord ischemia reperfusion injury through suppressing autophagy",2020,"Drug Design, Development and Therapy",NA,"2021-01-12 09:58:54","Article","10.2147/DDDT.S241066","1177-8881",14,NA,"adenosine","scopus"
"74","R. Zhou","Scopoletin Activates Adenosine Monophosphate-Activated Protein Kinase/Mammalian Target of Rapamycin Signaling Pathway and Improves Functional Recovery after Spinal Cord Injury in Rats",2020,"Pharmacology",NA,"2021-01-12 09:58:54","Article","10.1159/000503866","0031-7012",105,NA,"adenosine","scopus"
"75","Y. Luo","Liquiritin alleviates spinal cord injury through suppression of inflammation, oxidative stress, and cell apoptosis in a rat model",2019,"Tropical Journal of Pharmaceutical Research",NA,"2021-01-12 09:58:54","Article","10.4314/tjpr.v18i8.17","1596-5996",18,NA,"adenosine","scopus"
"76","D.G. Ellman","The loss-of-function disease-mutation G301R in the Na<sup>+</sup>/K<sup>+</sup>-ATPase α<inf>2</inf> isoform decreases lesion volume and improves functional outcome after acute spinal cord injury in mice",2017,"BMC Neuroscience",NA,"2021-01-12 09:58:54","Article","10.1186/s12868-017-0385-9","1471-2202",18,NA,"adenosine","scopus"
"77","L. Matinyan","Evolutionary aspects of the compensation for the functions of the damaged spinal cord",2004,"Neuroscience and Behavioral Physiology",NA,"2021-01-12 09:58:54","Article","10.1023/B:NEAB.0000028280.47712.2e","0097-0549",34,NA,"adenosine","scopus"
"78","S. Shanmughapriya","Inter and Intracellular mitochondrial trafficking in health and disease",2020,"Ageing Research Reviews",NA,"2021-01-12 09:58:54","Review","10.1016/j.arr.2020.101128","1568-1637",62,NA,"adenosine","scopus"
"79","F. Soares dos Santos Cardoso","Inosine Accelerates the Regeneration and Anticipates the Functional Recovery after Sciatic Nerve Crush Injury in Mice",2019,"Neuroscience",NA,"2021-01-12 09:58:54","Article","10.1016/j.neuroscience.2019.09.023","0306-4522",423,NA,"adenosine","scopus"
"80","C.V. Ghincea","Spinal Cord Protection for Thoracic Aortic Surgery: Bench to Bedside",2019,"Seminars in Thoracic and Cardiovascular Surgery",NA,"2021-01-12 09:58:54","Article","10.1053/j.semtcvs.2019.02.025","1043-0679",31,NA,"adenosine","scopus"
"81","Z. Sun","Exendin-4 Plays a Protective Role in a Rat Model of Spinal Cord Injury Through SERCA2",2018,"Cellular Physiology and Biochemistry",NA,"2021-01-12 09:58:54","Article","10.1159/000490017","1015-8987",47,NA,"adenosine","scopus"
"82","L. Tu","Influence of cervical sympathetic nerve block on blood flow volume and barrier function of intestinal mucosa after combined radiation and burn injury in rat",2007,"Chinese Journal of Burns",NA,"2021-01-12 09:58:54","Article","","1009-2587",23,NA,"adenosine","scopus"
"83","J. Liao","Meglumine cyclic adenylate improves neurological function following acute spinal cord injury in rats",2014,"Molecular Medicine Reports",NA,"2021-01-12 09:58:54","Article","10.3892/mmr.2014.2352","1791-2997",10,NA,"adenosine","scopus"
"84","Y.J. Tang","Bisperoxovanadium protects against spinal cord injury by regulating autophagy via activation of ERK1/2 signaling",2019,"Drug Design, Development and Therapy",NA,"2021-01-12 09:58:54","Article","10.2147/DDDT.S187878","1177-8881",13,NA,"adenosine","scopus"
"85","H. Li","The effects of icariin on enhancing motor recovery through attenuating pro-inflammatory factors and oxidative stress via mitochondrial apoptotic pathway in the mice model of spinal cord injury",2018,"Frontiers in Physiology",NA,"2021-01-12 09:58:54","Article","10.3389/fphys.2018.01617","1664-042X",9,NA,"adenosine","scopus"
"86","W. Lin","Sirtuin4 suppresses the anti-neuroinflammatory activity of infiltrating regulatory T cells in the traumatically injured spinal cord",2019,"Immunology",NA,"2021-01-12 09:58:54","Article","10.1111/imm.13123","0019-2805",158,NA,"adenosine","scopus"
"87","W. Zhao","Combined Administration of Poly-ADP-Ribose Polymerase-1 and Caspase-3 Inhibitors Alleviates Neuronal Apoptosis After Spinal Cord Injury in Rats",2019,"World Neurosurgery",NA,"2021-01-12 09:58:54","Article","10.1016/j.wneu.2019.03.116","1878-8750",127,NA,"adenosine","scopus"
"88","J. Ren","Protective effect of leptin-mediated caveolin-1 expression on neurons after spinal cord injury",2018,"Cell Calcium",NA,"2021-01-12 09:58:54","Article","10.1016/j.ceca.2018.11.003","0143-4160",76,NA,"adenosine","scopus"
"89","C. Doyle","Inosine - A Multifunctional Treatment for Complications of Neurologic Injury",2018,"Cellular Physiology and Biochemistry",NA,"2021-01-12 09:58:54","Review","10.1159/000493831","1015-8987",49,NA,"adenosine","scopus"
"90","D. Reigada","Diadenosine tetraphosphate (Ap<inf>4</inf>A) inhibits ATP-induced excitotoxicity: a neuroprotective strategy for traumatic spinal cord injury treatment",2017,"Purinergic Signalling",NA,"2021-01-12 09:58:54","Article","10.1007/s11302-016-9541-4","1573-9538",13,NA,"adenosine","scopus"
"91","E. Ewan","Intrathecal Acetyl-L-Carnitine Protects Tissue and Improves Function after a Mild Contusive Spinal Cord Injury in Rats",2016,"Journal of Neurotrauma",NA,"2021-01-12 09:58:54","Article","10.1089/neu.2015.4030","0897-7151",33,NA,"adenosine","scopus"
"92","C.M. Lin","Development of telmisartan in the therapy of spinal cord injury: Pre-clinical study in rats",2015,"Drug Design, Development and Therapy",NA,"2021-01-12 09:58:54","Article","10.2147/DDDT.S86616","1177-8881",9,NA,"adenosine","scopus"
"93","K. Suehiro","Ecto-domain phosphorylation promotes functional recovery from spinal cord injury",2014,"Scientific Reports",NA,"2021-01-12 09:58:54","Article","10.1038/srep04972","2045-2322",4,NA,"adenosine","scopus"
"94","M.H. Wen","Modulation of Serotonin and Adenosine 2A Receptors on Intermittent Hypoxia-Induced Respiratory Recovery following Mid-Cervical Contusion in the Rat",2019,"Journal of Neurotrauma",NA,"2021-01-12 09:58:54","Article","10.1089/neu.2018.6371","0897-7151",36,NA,"adenosine","scopus"
"95","S. Wang","Emerging molecular therapeutic targets for spinal cord injury",2019,"Expert Opinion on Therapeutic Targets",NA,"2021-01-12 09:58:54","Review","10.1080/14728222.2019.1661381","1472-8222",23,NA,"adenosine","scopus"
"96","P. Yang","Buyang huanwu decoction combined with BMSCs transplantation promotes recovery after spinal cord injury by rescuing axotomized red nucleus neurons",2019,"Journal of Ethnopharmacology",NA,"2021-01-12 09:58:54","Article","10.1016/j.jep.2018.09.028","0378-8741",228,NA,"adenosine","scopus"
"97","Z. Minic","Nanoconjugate-bound adenosine A<inf>1</inf> receptor antagonist enhances recovery of breathing following acute cervical spinal cord injury",2017,"Experimental Neurology",NA,"2021-01-12 09:58:54","Article","10.1016/j.expneurol.2017.02.013","0014-4886",292,NA,"adenosine","scopus"
"98","C. Hulsebosch","Mechanisms and treatment strategies for chronic central neuropathic pain after spinal cord injury",2003,"Topics in Spinal Cord Injury Rehabilitation",NA,"2021-01-12 09:58:54","Review","10.1310/NMGQ-NXNX-7LNK-PXM2","1082-0744",8,NA,"adenosine","scopus"
"99","S. Gao","Ameliorative effects of echinacoside against spinal cord injury via inhibiting NLRP3 inflammasome signaling pathway",2019,"Life Sciences",NA,"2021-01-12 09:58:54","Article","10.1016/j.lfs.2019.116978","0024-3205",237,NA,"adenosine","scopus"
"100","Z.Q. Jia","Ebselen protects mitochondrial function and oxidative stress while inhibiting the mitochondrial apoptosis pathway after acute spinal cord injury",2018,"Neuroscience Letters",NA,"2021-01-12 09:58:54","Article","10.1016/j.neulet.2018.05.007","0304-3940",678,NA,"adenosine","scopus"
"101","B. Li","Lithium Inhibits GSK3β Activity via Two Different Signaling Pathways in Neurons After Spinal Cord Injury",2018,"Neurochemical Research",NA,"2021-01-12 09:58:54","Article","10.1007/s11064-018-2488-9","0364-3190",43,NA,"adenosine","scopus"
"102","C.C. Yang","Caffeine treatment aggravates secondary degeneration after spinal cord injury",2016,"Brain Research",NA,"2021-01-12 09:58:54","Article","10.1016/j.brainres.2015.12.053","0006-8993",1634,NA,"adenosine","scopus"
"103","Z. Minic","Transporter protein-coupled DPCPX nanoconjugates induce diaphragmatic recovery after SCI by blocking adenosine A1 receptors",2016,"Journal of Neuroscience",NA,"2021-01-12 09:58:54","Article","10.1523/JNEUROSCI.2577-15.2016","0270-6474",36,NA,"adenosine","scopus"
"104","H. Liu","Spinal Glia Division Contributes to Conditioning Lesion-Induced Axon Regeneration into the Injured Spinal Cord: Potential Role of Cyclic AMP-Induced Tissue Inhibitor of Metalloproteinase-1",2015,"Journal of Neuropathology and Experimental Neurology",NA,"2021-01-12 09:58:54","Article","10.1097/NEN.0000000000000192","0022-3069",74,NA,"adenosine","scopus"
"105","P. Shah","In vivo <sup>31</sup>P NMR spectroscopy assessment of skeletal muscle bioenergetics after spinal cord contusion in rats",2014,"European Journal of Applied Physiology",NA,"2021-01-12 09:58:54","Article","10.1007/s00421-013-2810-9","1439-6319",114,NA,"adenosine","scopus"
"106","M. Carballosa-Gonzalez","Hindbrain raphe stimulation boosts cyclic adenosine monophosphate and signaling proteins in the injured spinal cord",2014,"Brain Research",NA,"2021-01-12 09:58:54","Article","10.1016/j.brainres.2013.11.013","0006-8993",1543,NA,"adenosine","scopus"
